d,gin,r1,r2,r3
2,30.53647687999728,61.6792512100028,97.31972100999883,58.20995498999764
3,31.263670060006916,75.43901109999751,161.78713362000053,277.2749246700005
4,31.61006956999699,89.50989017999746,274.98414715999843,644.6521000899975
5,32.31752138999582,99.96754286000396,478.16004140999667,
6,33.559881239998504,117.26106257000083,683.8394627000071,
